Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -fpkm -p ../pos_files/AtCAGEtss_filtered.pos ../pos_files/AtPEATtss_filtered.pos ../pos_files/AtOligo_tss_filtered.pos)	../pos_files/AtCAGEtss_filtered.pos	../pos_files/AtPEATtss_filtered.pos	../pos_files/AtOligo_tss_filtered.pos
-230	0.000648867458404024	0.00172336815787124	0.00661666220198232
-220	0.000628032264785546	0.00166979194570944	0.0066642855016817
-210	0.000714349495490669	0.00172336815787124	0.00732208232877936
-200	0.000693514301872191	0.002354376878888	0.0077893859570795
-190	0.000761972795190047	0.00237521207250647	0.00863172307051225
-180	0.000720302407953091	0.00215495431139685	0.00838170074709051
-170	0.000779831532577313	0.00218471887370896	0.00892936869363336
-160	0.000845313569663958	0.00215197785516564	0.00923892014167932
-150	0.000756019882727625	0.00207161353692294	0.00890555704378367
-140	0.000723278864184302	0.00183647349465726	0.00866446408905557
-130	0.000613149983629491	0.00168467422686549	0.00840253594070899
-120	0.000532785665386791	0.00152394559038009	0.00753341072119534
-110	0.000547667946542846	0.00156561597761705	0.00806321993035092
-100	0.000547667946542846	0.00162514510224127	0.00881626335684734
-90	0.000538738577849213	0.00189004970681906	0.00985802303777123
-80	0.000735184689109147	0.00237521207250647	0.0118314135190642
-70	0.000848290025895169	0.00252105842783582	0.0143108015596631
-60	0.00109533589308569	0.00309551448045956	0.0174837039021341
-50	0.0013126171979641	0.00347650087805459	0.0211060511355181
-40	0.00153882787153615	0.00478316516355627	0.0269309759799982
-30	0.00175908563264577	0.00646486293419055	0.0349822900854243
-20	0.00283953924457541	0.00930737863499717	0.043944399797601
-10	0.00460755424591481	0.0138405214751317	0.0605619549364527
0	0.0236658034943596	0.0545346310682501	0.155118016489568
10	0.0126826800011906	0.0358573682174004	0.113653004732565
20	0.00810786677381909	0.0256927701878144	0.0886477959341608
30	0.00812274905497515	0.0248206685120695	0.0827633419650564
40	0.00657499181474536	0.0210048516236569	0.0719528529332976
50	0.00547667946542846	0.0189094264368842	0.0645682650236628
60	0.00461350715837724	0.0150162216864601	0.0534869184748638
70	0.00372652320147632	0.0125130219960115	0.0447510194362592
80	0.00316992588623984	0.0101139982736554	0.0372890436646129
90	0.00275024555763907	0.00861386433312498	0.0321903741405483
100	0.00205077834330446	0.00681013185701104	0.0276036550882519
110	0.00184540286335089	0.00566419620799476	0.0223769979462452
120	0.00170848587671518	0.00506592850552133	0.019385659433878
130	0.00134833467273864	0.00419085037354526	0.016593743489002
140	0.00113402982409144	0.0037473583950948	0.0145905884453969
150	0.00112212399916659	0.00352114772152275	0.0126499389826473
160	0.000910795606750603	0.00297943268744233	0.0116974729886597
170	0.000845313569663958	0.00254784653391672	0.0105277256897937
180	0.000723278864184302	0.00241390600351222	0.00982528201922791
190	0.000648867458404024	0.00236032979135042	0.0088341220942346
200	0.000488138821918624	0.00189302616305027	0.00742030538440932
210	0.000508974015537101	0.00183647349465726	0.00705420126797035
220	0.000413727416138346	0.0014733458344495	0.00649462749650266
230	0.000401821591213501	0.00155966306515463	0.00549453820281573
240	0.000625055808554335	0.00160430990862279	0.00560169062713933
250	0.000461350715837724	0.00154180432776736	0.00544393844688514
260	0.000485162365687413	0.00143465190344376	0.00515522219245766
270	0.000437539065988035	0.00114891210524749	0.00414322707384588
280	0.000380986397595023	0.00103878322469268	0.00430097925410007
290	0.000497068190612257	0.00105068904961753	0.00400928654344138
300	0.000386939310057446	0.000988183468762092	0.00357770038991577
310	0.00039884513498229	0.000943536625293925	0.00361937077715272
320	0.000386939310057446	0.000875078131976069	0.00345566568443611
330	0.000431586153525612	0.0010179480310742	0.0035330535464476
340	0.000392892222519868	0.00102390094353663	0.00336339554126857
350	0.000500044646843468	0.000860195850820014	0.00327707831056344
360	0.00031848081673959	0.000916748519213025	0.00338125427865583
370	0.000324433729202012	0.00087805458820728	0.00329791350418192
380	0.000553620859005268	0.000931630800369081	0.00299133851236718
390	0.000407774503675923	0.00085126648212638	0.00301515016221686
400	0.000416703872369557	0.000758996338958836	0.00314016132392773
410	0.000428609697294401	0.000648867458404024	0.00322052564217043
420	0.000375033485132601	0.000666726195791291	0.00260439920230973
430	0.000363127660207757	0.000696490758103402	0.00255082299014793
440	0.00042563324106319	0.000738161145340358	0.00255677590261035
450	0.000395868678751079	0.000622079352323124	0.00272643390778939
460	0.000523856296693157	0.000791737357502158	0.00260737565854094
470	0.000422656784831979	0.000672679108253713	0.0027829865761824
480	0.000473256540762568	0.000756019882727625	0.00291990356281811
490	0.000473256540762568	0.000767925707652469	0.00275322201387029
500	0.000273833973271423	0.000276810429502634	0.00149715748429919
