Distance from Center (cmd=annotatePeaks.pl tss tair10 -len 0 -size 1000 -hist 10 -p ../pos_files/AtCAGE_tss_raw.pos ../pos_files/AtCAGEtss_filtered.pos ../pos_files/AtCAGEtss_belowThresh.pos)	../pos_files/AtCAGE_tss_raw.pos	../pos_files/AtCAGEtss_filtered.pos	../pos_files/AtCAGEtss_belowThresh.pos
-50	0.0672857695627586	0.0013126171979641	0.0659731523647945
-40	0.0753073191058725	0.00153882787153615	0.0737684912343364
-30	0.085704080721493	0.00175908563264577	0.0839449950888472
-20	0.100389915766289	0.00283953924457541	0.0975503765217133
-10	0.119207072060005	0.00460755424591481	0.114599517814091
0	0.216114534035777	0.0236658034943596	0.192448730541417
10	0.172896389558592	0.0126826800011906	0.160213709557401
20	0.147278030776557	0.00810786677381909	0.139170164002738
30	0.142703217549186	0.00812274905497515	0.134580468494211
40	0.132776736018097	0.00657499181474536	0.126201744203351
50	0.12420751852844	0.00547667946542846	0.118730839063012
60	0.112676727088728	0.00461350715837724	0.108063219930351
70	0.102512129059142	0.00372652320147632	0.0987856058576659
80	0.093359526148168	0.00316992588623984	0.0901896002619282
90	0.0878977289638956	0.00275024555763907	0.0851474834062565
100	0.0811739143375897	0.00205077834330446	0.0791231359942852
110	0.0758668928773402	0.00184540286335089	0.0740214900139893
120	0.0719082060898295	0.00170848587671518	0.0701997202131143
130	0.0690329493704795	0.00134833467273864	0.0676846146977409
140	0.0660207756644939	0.00113402982409144	0.0648867458404024
150	0.0647736405036164	0.00112212399916659	0.0636515165044498
160	0.0634342351995714	0.000910795606750603	0.0625234395928208
170	0.0613685745751109	0.000845313569663958	0.0605232610054469
180	0.0601392981516207	0.000723278864184302	0.0594160192874364
190	0.061300116081793	0.000648867458404024	0.060651248623389
200	0.0599636872339792	0.000488138821918624	0.0594755484120606
210	0.0588088222162693	0.000508974015537101	0.0582998482007322
220	0.0592820787570319	0.000413727416138346	0.0588683513408935
230	0.0572848766258892	0.000401821591213501	0.0568830550346757
240	0.0575140637556925	0.000625055808554335	0.0568890079471381
250	0.0570943834270917	0.000461350715837724	0.056633032711254
260	0.0566449385361788	0.000485162365687413	0.0561597761704914
270	0.0568949608596006	0.000437539065988035	0.0564574217936125
280	0.0558383188975206	0.000380986397595023	0.0554573324999256
290	0.0553948269190702	0.000497068190612257	0.0548977587284579
300	0.055180522070423	0.000386939310057446	0.0547935827603655
310	0.0559871417090812	0.00039884513498229	0.0555882965740989
320	0.0557400958418906	0.000386939310057446	0.0553531565318332
330	0.0555466261868619	0.000431586153525612	0.0551150400333363
340	0.0555972259427925	0.000392892222519868	0.0552043337202726
350	0.0561061999583296	0.000500044646843468	0.0556061553114861
360	0.0552460041075096	0.00031848081673959	0.05492752329077
370	0.0559127303033009	0.000324433729202012	0.0555882965740989
380	0.05578771914159	0.000553620859005268	0.0552340982825848
390	0.0554751912373129	0.000407774503675923	0.0550674167336369
400	0.0544393844688514	0.000416703872369557	0.0540226805964818
410	0.0550942048397178	0.000428609697294401	0.0546655951424234
420	0.0546536893174986	0.000375033485132601	0.054278655832366
430	0.0544542667500074	0.000363127660207757	0.0540911390897997
440	0.0552132630889663	0.00042563324106319	0.0547876298479031
450	0.0543262791320654	0.000395868678751079	0.0539304104533143
460	0.0547429830044349	0.000523856296693157	0.0542191267077418
470	0.0554870970622377	0.000422656784831979	0.0550644402774057
480	0.0565050450933119	0.000473256540762568	0.0560317885525493
490	0.055097181295949	0.000473256540762568	0.0546239247551865
500	0.0274280441706105	0.000273833973271423	0.027154210197339
