Distance from Center (cmd=annotatePeaks.pl tss tair10 -size 1000 -hist 10 -p ../pos_files/AtOligo_tss_raw.pos ../pos_files/AtOligo_tss_filtered.pos ../pos_files/AtOligo_tss_belowThresh.pos)	../pos_files/AtOligo_tss_raw.pos	../pos_files/AtOligo_tss_filtered.pos	../pos_files/AtOligo_tss_belowThresh.pos
390	0.0136768163824151	0.00301515016221686	0.0106616662201982
400	0.0144030717028306	0.00314016132392773	0.0112629103789029
410	0.0143524719469	0.00322052564217043	0.0111319463047296
420	0.013322618090901	0.00260439920230973	0.0107182188885912
430	0.0129327023246123	0.00255082299014793	0.0103818793344644
440	0.0139774384617674	0.00255677590261035	0.0114206625591571
450	0.0135994285204036	0.00272643390778939	0.0108729946126142
460	0.0132839241598952	0.00260737565854094	0.0106765485013543
470	0.0135815697830163	0.0027829865761824	0.0107985832068339
480	0.0138137333690508	0.00291990356281811	0.0108938298062327
490	0.0136916986635712	0.00275322201387029	0.0109384766497009
500	0.0069053784564098	0.00149715748429919	0.0054082209721106
