Distance from Center (cmd=annotatePeaks.pl tss tair10 -len 0 -size 1000 -hist 10 -p ../pos_files/AtCAGE_tss_raw.pos ../pos_files/AtPEATtss_raw.pos ../pos_files/AtOligo_tss_raw.pos)	../pos_files/AtCAGE_tss_raw.pos	../pos_files/AtPEATtss_raw.pos	../pos_files/AtOligo_tss_raw.pos
-190	0.0394826919070155	0.00929249635384112	0.0222281751346846
-180	0.039179093371432	0.00920320266690478	0.0226210673572045
-170	0.0405125457630146	0.00969729440128583	0.0236509212132036
-160	0.0407744739113611	0.00997112837455725	0.0242462124594458
-150	0.0418400452421347	0.0100485162365687	0.0252820192279073
-140	0.0418817156293717	0.00961990653927434	0.0256987231002768
-130	0.042506771437926	0.00950382474625711	0.0248206685120695
-120	0.0426794058993362	0.00900973301187606	0.024558740363723
-110	0.0432687442331161	0.00949191892133226	0.0258505223680686
-100	0.0458820728041194	0.0104027145280829	0.0281810875971069
-90	0.0476887817364646	0.0107747715569843	0.0315474595946067
-80	0.0507217906360687	0.0130041372741614	0.0364824240259547
-70	0.0559038009346073	0.0155698425454654	0.0436259189808614
-60	0.0611751049200822	0.0185552281453701	0.0514569753251778
-50	0.0672857695627586	0.0220674464981992	0.0621126886329137
-40	0.0753073191058725	0.0273566092210614	0.0747239336845552
-30	0.085704080721493	0.0353097002708575	0.0945709438342709
-20	0.100389915766289	0.0471798077209275	0.111251004553978
-10	0.119207072060005	0.0614161978748103	0.140881626335685
0	0.216114534035777	0.149022234128047	0.27734023871179
10	0.172896389558592	0.119213024972468	0.225621335238265
20	0.147278030776557	0.0965830282465696	0.186141619787481
30	0.142703217549186	0.0931987975116826	0.176027621513826
40	0.132776736018097	0.0858082566895854	0.159573771467691
50	0.12420751852844	0.0772747566747031	0.142822275798434
60	0.112676727088728	0.0670774176265738	0.123010983123493
70	0.102512129059142	0.0581391195642468	0.107333988153704
80	0.093359526148168	0.0507485787421496	0.0929487751882609
90	0.0878977289638956	0.045396910438432	0.0805994582849659
100	0.0811739143375897	0.0388725183796172	0.0703187784623627
110	0.0758668928773402	0.0342143643777718	0.0621067357204512
120	0.0719082060898295	0.0312408846027919	0.0547787004792095
130	0.0690329493704795	0.0284102747269101	0.0487067297675388
140	0.0660207756644939	0.0256838408191208	0.0439741643599131
150	0.0647736405036164	0.0236360389320475	0.0399351132541596
160	0.0634342351995714	0.0221656695538292	0.0367086346995267
170	0.0613685745751109	0.0207488763877727	0.0337768253117838
180	0.0601392981516207	0.0190255082299015	0.0314700717325952
190	0.061300116081793	0.0180968538857636	0.02890139000506
200	0.0599636872339792	0.0170134238176028	0.0259398160550049
210	0.0588088222162693	0.0159746405929101	0.0244634937643242
220	0.0592820787570319	0.015043009792541	0.02344554573325
230	0.0572848766258892	0.0139536268119177	0.0219007649492514
240	0.0575140637556925	0.0140161323927732	0.0214304848647201
250	0.0570943834270917	0.0136827692948775	0.0201773967913802
260	0.0566449385361788	0.0135845462392476	0.0190433669672887
270	0.0568949608596006	0.0129892549930053	0.0178438551061107
280	0.0558383188975206	0.0115337678959431	0.0174152454088163
290	0.0553948269190702	0.0117748608506712	0.0167544721254874
300	0.055180522070423	0.0108878768937703	0.0157424770068756
310	0.0559871417090812	0.0108313242253773	0.0156829478822514
320	0.0557400958418906	0.010179480310742	0.0154984075959163
330	0.0555466261868619	0.0108997827186951	0.0150043158615353
340	0.0555972259427925	0.0106170193767301	0.0147513170818823
350	0.0561061999583296	0.0102509152602911	0.0149924100366104
360	0.0552460041075096	0.0103669970533083	0.0147275054320326
370	0.0559127303033009	0.0100425633241063	0.0144536714587612
380	0.05578771914159	0.00981039973807185	0.0142453195225764
390	0.0554751912373129	0.00965562401404887	0.0136768163824151
400	0.0544393844688514	0.00942048397178319	0.0144030717028306
410	0.0550942048397178	0.00923892014167932	0.0143524719469
420	0.0546536893174986	0.00925082596660416	0.013322618090901
430	0.0544542667500074	0.00929844926630354	0.0129327023246123
440	0.0552132630889663	0.00897103908087032	0.0139774384617674
450	0.0543262791320654	0.00922106140429205	0.0135994285204036
460	0.0547429830044349	0.00937286067208382	0.0132839241598952
470	0.0554870970622377	0.00928059052891627	0.0135815697830163
480	0.0565050450933119	0.00951870702741316	0.0138137333690508
490	0.055097181295949	0.009474060183945	0.0136916986635712
500	0.0274280441706105	0.00456588385867786	0.0069053784564098
