Distance from Center (cmd=annotatePeaks.pl /scratch/rtraborn/TSRchitect_plant_results/plant_genomic_data/A_thaliana/GROseq/GROseq_tagDirectory/tss.txt tair10 -size 4000 -hist 25 -d ESTtagDir CAGEtagDir PEATtagDir TokVectagDir)	ESTtagDir Coverage	ESTtagDir + Tags	ESTtagDir - Tags	CAGEtagDir Coverage	CAGEtagDir + Tags	CAGEtagDir - Tags	PEATtagDir Coverage	PEATtagDir + Tags	PEATtagDir - Tags	TokVectagDir Coverage	TokVectagDir + Tags	TokVectagDir - Tags
725	25.5646345439133	0.0497908065462606	0.0465784964465019	23.3944566531913	0.0602518680315155	0.098093662384989	16.1136791202112	0.0897265306122346	0.0174883810393164	9.35027667296844	0.0192719436656485	0.0717862032992135
750	23.4230944774074	0.0393507987220447	0.0505938840712003	21.7165248450904	0.0606690552258818	0.0705295885765793	16.6622716306978	0.108094640412078	0.0208732477016363	6.0217339331888	0.022972341396627	0.0210553954489156
775	22.6200169524677	0.0425631088218035	0.0473815739714416	19.1584456533723	0.0545416183086372	0.0800662971897635	16.3430894786037	0.0942400730260106	0.0265085023146631	6.21400838929713	0.0212365390884818	0.0207982395514131
800	25.0292495272868	0.0562154267457781	0.0401538762469844	18.43619269243	0.0682258068722052	0.0573884723218127	15.3262947990706	0.0856603964269293	0.0202198343874288	6.22512660015975	0.0213110386646711	0.043137523635655
825	25.5646345439133	0.0409569537719241	0.0505938840712003	18.6243747285077	0.0712739649214109	0.095720349481562	15.8593160331233	0.0882055747538544	0.0195345047923319	6.73047575579644	0.0234344656712572	0.0156846188954821
850	23.4230944774074	0.048987729021321	0.0401538762469844	17.1852688472136	0.0581976136141152	0.0795964008605711	15.3437810523578	0.0819575275477494	0.0245766968768334	6.93472560909239	0.0230109147812536	0.0252470365782109
875	22.7538632066244	0.048987729021321	0.0417600312968638	15.7509213197853	0.0491408945686728	0.0638484253764948	14.7966586251122	0.0794605137901695	0.017736167438221	6.46070157136228	0.0170967073091245	0.0178927560800686
900	23.0215557149376	0.0449723413966225	0.038547721197105	15.0144130414526	0.0586164830149052	0.0522751255134437	15.5530551389893	0.100992397470165	0.0377314272673919	7.11585664297558	0.0233142074721307	0.0541354762991485
925	24.3600182565037	0.0425631088218035	0.0425631088218035	14.7567313970449	0.0533654756471017	0.0554584208123935	15.7271439438403	0.109172830410117	0.0302055682336824	6.20984851448457	0.0200214774727825	0.0217735411097358
950	24.8954032731302	0.0409569537719241	0.048987729021321	14.5438888465341	0.0557390689182762	0.0533060376866231	15.5828823542204	0.0816296602986136	0.0229425832952985	6.11183934276476	0.016260194301365	0.0151661472256636
975	21.816939427528	0.0417600312968638	0.0481846514963813	14.3675928230174	0.0522521353589106	0.0492611723283392	16.338756601683	0.0890870444024165	0.0250960618113053	7.42733042098518	0.027375379800486	0.0355442394210102
1000	21.5492469192148	0.0465784964465019	0.0321231009975875	13.8660800953506	0.0490110843059116	0.0602257938318645	15.4361641781321	0.0751489143900275	0.0219868357566665	6.87918497750428	0.0209268175001658	0.0303682206428907
1025	23.0215557149376	0.0449723413966225	0.0433661863467432	12.8952179530767	0.04472622416379	0.0491260350785509	14.043705200931	0.0643995109864953	0.0262055877942224	6.5108973941003	0.020094842537658	0.0255839864380275
1050	24.3600182565037	0.0425631088218035	0.0433661863467432	12.8086790941816	0.0521646606246138	0.0455670470104981	13.32628523614	0.0624166394992427	0.0359922801069297	7.18165829910128	0.0264908391471661	0.0443522070809177
1075	23.556940731564	0.0457754189215622	0.0433661863467432	13.2357857781008	0.061862300319464	0.043111866727532	11.8615600617252	0.0635563408750004	0.0238617721849117	6.58107322161981	0.0351857338462617	0.0214872660885456
1100	22.3523244441545	0.0449723413966225	0.0441692638716829	13.4114993475136	0.0526892286626912	0.0433434504792415	11.2284764512842	0.0605672360957092	0.0249863858642493	6.52718393427548	0.0312671317728412	0.0192462280758953
1125	18.0692443111428	0.0329261785225272	0.0337292560474669	13.871953996907	0.0502477863988825	0.0541148986111813	11.9213498945912	0.0852356197430955	0.0238960096498657	6.82179131077241	0.0211578796374814	0.0354761687422591
